gene_name	transcript	strand	tx_start	tx_end	tx_len	cds_start	cds_end	exon_count	exon_starts	exon_ends	exon_lengths
FAM230D	NR_136570	-	18178025	18205909	27884	18205909	18205909	12	18178025,18183109,18183726,18183993,18184599,18188622,18189121,18191182,18196156,18199189,18199682,18205774	18178465,18183264,18183767,18184066,18186406,18188656,18189183,18191248,18196243,18199214,18199741,18205909	440,155,41,73,1807,34,62,66,87,25,59,135
FAM230J	NR_136569	-	18361817	18386556	24739	18386556	18386556	9	18361817,18366900,18372922,18373421,18375483,18380455,18383486,18383979,18386385	18362257,18367857,18372956,18373483,18375549,18380542,18383511,18384038,18386556	440,957,34,62,66,87,25,59,171
FAM230A	NR_165629	+	18421383	18500594	79211	18500594	18500594	12	18421383,18424976,18425503,18428474,18487138,18489204,18489731,18491985,18494559,18494858,18495361,18500155	18421503,18425035,18425528,18428561,18487204,18489266,18489765,18494026,18494632,18494899,18495516,18500594	120,59,25,87,66,62,34,2041,73,41,155,439
GGTLC3	NM_001355479	-	18516343	18518161	1818	18516500	18517897	6	18516343,18516951,18517146,18517361,18517721,18518062	18516647,18517065,18517259,18517489,18517931,18518161	304,114,113,128,210,99
TMEM191B	NM_001242313	+	18527801	18530573	2772	18527980	18530459	9	18527801,18528558,18528816,18529018,18529440,18529605,18529935,18530155,18530254	18528276,18528682,18528867,18529093,18529497,18529724,18530008,18530196,18530573	475,124,51,75,57,119,73,41,319
PI4KAP1	NR_003563	-	18533863	18548828	14965	18548828	18548828	15	18533863,18535244,18535858,18536649,18538432,18538639,18539227,18540401,18540572,18543666,18544651,18547245,18548010,18548317,18548669	18534053,18535328,18535948,18537412,18538558,18538744,18539337,18540472,18540645,18543737,18544781,18547373,18548118,18548469,18548828	190,84,90,763,126,105,110,71,73,71,130,128,108,152,159
RIMBP3	NM_015672	-	18605814	18611919	6105	18606514	18611434	1	18605814	18611919	6105
FAM230E	NR_136561	+	18733934	18757905	23971	18757905	18757905	9	18733934,18736031,18736558,18739529,18744509,18746573,18747100,18751868,18757466	18734054,18736090,18736583,18739616,18744575,18746635,18747134,18752825,18757905	120,59,25,87,66,62,34,957,439
GGT3P	NR_003267	-	18773688	18791961	18273	18791961	18791961	13	18773688,18774272,18774467,18774682,18775041,18778729,18779389,18781588,18782138,18787530,18787744,18791058,18791772	18773968,18774386,18774580,18774809,18775229,18778866,18779539,18781746,18782331,18787611,18787879,18791229,18791961	280,114,113,127,188,137,150,158,193,81,135,171,189
LOC102725072	NR_135922	+	18850117	18861051	10934	18861051	18861051	6	18850117,18852218,18853649,18855789,18856574,18858381	18851843,18852594,18853755,18855918,18857489,18861051	1726,376,106,129,915,2670
FAM230F	NR_136571	-	18865041	18894431	29390	18894431	18894431	12	18865041,18870129,18870746,18871013,18871619,18875878,18876377,18878438,18883412,18886445,18886938,18894328	18865481,18870284,18870787,18871086,18873665,18875912,18876439,18878504,18883499,18886470,18886997,18894431	440,155,41,73,2046,34,62,66,87,25,59,103
LOC102724770	NM_001368242	+	18906319	18912088	5769	18906374	18911689	5	18906319,18906564,18910171,18910887,18911539	18906484,18906725,18910272,18911028,18912088	165,161,101,141,549
DGCR6	NM_005675	+	18906319	18912088	5769	18906374	18911689	5	18906319,18906564,18910171,18910887,18911539	18906484,18906725,18910272,18911028,18912088	165,161,101,141,549
LOC102724788	NM_001368250	-	18912692	18936293	23601	18913174	18931147	14	18912692,18913437,18916889,18918315,18919450,18919705,18921341,18922324,18922816,18923114,18925050,18925687,18930989,18936169	18913362,18913526,18916988,18918491,18919597,18919798,18921423,18922404,18922933,18923179,18925200,18925722,18931198,18936293	670,89,99,176,147,93,82,80,117,65,150,35,209,124
PRODH	NM_001195226	-	18912780	18936553	23773	18913174	18931147	14	18912780,18913437,18916889,18918315,18919450,18919705,18921341,18922324,18922816,18923114,18925050,18925687,18930989,18936389	18913362,18913526,18916988,18918491,18919597,18919798,18921423,18922404,18922933,18923179,18925200,18925722,18931198,18936553	582,89,99,176,147,93,82,80,117,65,150,35,209,164
DGCR5	NR_110533	+	18970497	19031242	60745	19031242	19031242	6	18970497,18987756,18990719,18991816,19014352,19030781	18970658,18987900,18990924,18992017,19014506,19031242	161,144,205,201,154,461
DGCR2	NM_001173533	-	19036281	19122454	86173	19038864	19122206	9	19036281,19041057,19041806,19048439,19056985,19063201,19064847,19068099,19122127	19039121,19041294,19041959,19048643,19057162,19063278,19065067,19068225,19122454	2840,237,153,204,177,77,220,126,327
DGCR11	NR_024157	-	19046161	19048375	2214	19048375	19048375	1	19046161	19048375	2214
ESS2	NM_022719	-	19130278	19144651	14373	19134195	19144640	10	19130278,19135059,19137322,19138214,19139158,19139611,19139854,19142537,19142725,19144505	19134475,19135175,19137432,19138317,19139292,19139729,19140024,19142633,19142894,19144651	4197,116,110,103,134,118,170,96,169,146
TSSK2	NM_053006	+	19131307	19132622	1315	19131399	19132476	1	19131307	19132622	1315
GSC2	NM_005315	-	19146992	19150292	3300	19148990	19150283	3	19146992,19149662,19150024	19149095,19149916,19150292	2103,254,268
LINC01311	NR_103767	+	19171705	19172832	1127	19172832	19172832	1	19171705	19172832	1127
SLC25A1	NR_046298	-	19175574	19178863	3289	19178863	19178863	8	19175574,19176420,19176577,19176845,19177119,19177941,19178132,19178579	19176244,19176494,19176693,19176950,19177204,19178041,19178240,19178863	670,74,116,105,85,100,108,284
CLTCL1	NM_007098	-	19179473	19291719	112246	19180218	19291641	33	19179473,19180198,19180730,19183389,19187557,19187980,19191303,19196265,19196488,19199733,19201328,19208153,19208921,19210325,19216110,19219884,19221376,19221950,19222683,19223890,19225452,19226218,19229837,19232475,19233165,19233421,19234508,19235695,19239274,19242774,19253958,19275622,19291599	19179969,19180238,19180806,19183611,19187728,19188091,19191435,19196415,19196656,19199841,19201493,19208311,19209114,19210509,19216256,19220007,19221611,19222093,19222809,19224054,19225633,19226383,19229975,19232598,19233318,19233622,19234706,19235869,19239388,19242936,19254227,19275830,19291719	496,40,76,222,171,111,132,150,168,108,165,158,193,184,146,123,235,143,126,164,181,165,138,123,153,201,198,174,114,162,269,208,120
HIRA	NM_003325	-	19330698	19431733	101035	19331439	19431476	25	19330698,19351357,19353355,19353995,19355759,19356229,19356889,19359335,19361236,19361726,19375630,19377868,19383619,19385520,19387710,19388483,19392100,19394341,19396786,19397991,19405785,19407183,19408482,19410715,19431439	19331556,19351446,19353519,19354118,19355865,19356288,19357051,19359484,19361341,19361931,19375792,19378066,19383705,19385736,19387816,19388554,19392214,19394509,19396947,19398087,19405880,19407274,19408593,19410778,19431733	858,89,164,123,106,59,162,149,105,205,162,198,86,216,106,71,114,168,161,96,95,91,111,63,294
MRPL40	NM_003776	+	19431901	19436078	4177	19432554	19435962	4	19431901,19433264,19434735,19435637	19432607,19433348,19434894,19436078	706,84,159,441
C22orf39	NM_001166242	-	19440886	19447711	6825	19441643	19447688	3	19440886,19447377,19447664	19441694,19447545,19447711	808,168,47
UFD1	NM_001035247	-	19449910	19479193	29283	19450739	19479085	12	19449910,19454801,19455679,19456586,19456852,19458070,19465201,19467872,19471686,19475067,19475469,19479082	19450744,19454830,19455768,19456634,19456918,19458139,19465274,19468003,19471808,19475100,19475602,19479193	834,29,89,48,66,69,73,131,122,33,133,111
CDC45	NM_001369291	+	19479465	19520608	41143	19479556	19518908	19	19479465,19480157,19480952,19482689,19483861,19494326,19495980,19497385,19499100,19505361,19507385,19507765,19508529,19514748,19514964,19516526,19516816,19518843,19520480	19479571,19480217,19481045,19482827,19484005,19494382,19496029,19497447,19499151,19505481,19507517,19507864,19508691,19514887,19515048,19516645,19516893,19518909,19520608	106,60,93,138,144,56,49,62,51,120,132,99,162,139,84,119,77,66,128
CLDN5	NM_001130861	-	19523023	19525337	2314	19523598	19524510	1	19523023	19525337	2314
LINC00895	NR_024381	-	19566129	19566839	710	19566839	19566839	1	19566129	19566839	710
SEPTIN5	NM_002688	+	19714502	19723319	8817	19714588	19722484	12	19714502,19714780,19719601,19719805,19720114,19720319,19720548,19720767,19721639,19721821,19722236,19722427	19714631,19714791,19719698,19719892,19720238,19720454,19720666,19720869,19721736,19721957,19722339,19723319	129,11,97,87,124,135,118,102,97,136,103,892
SEPT5-GP1BB	NR_037611	+	19717219	19724774	7555	19724774	19724774	12	19717219,19719601,19719805,19720114,19720319,19720548,19720767,19721639,19721821,19722236,19722427,19723853	19718818,19719698,19719892,19720238,19720454,19720666,19720869,19721736,19721957,19722339,19723579,19724774	1599,97,87,124,135,118,102,97,136,103,1152,921
GP1BB	NM_000407	+	19723538	19724771	1233	19723569	19724464	2	19723538,19723853	19723579,19724771	41,918
TBX1	NM_005992	+	19756702	19783589	26887	19759643	19783022	10	19756702,19759557,19760904,19763240,19764154,19764957,19765757,19765901,19782912,19783313	19756745,19759677,19761280,19763342,19764326,19765113,19765825,19766002,19783032,19783589	43,120,376,102,172,156,68,101,120,276
GNB1L	NM_053004	-	19783222	19854874	71652	19788708	19821355	8	19783222,19802000,19806658,19812284,19820597,19821227,19854442,19854819	19788960,19802216,19806757,19812447,19820723,19821375,19854539,19854874	5738,216,99,163,126,148,97,55
RTL10	NM_024627	-	19846145	19854874	8729	19851166	19852261	3	19846145,19854442,19854659	19852486,19854539,19854874	6341,97,215
TXNRD2	NM_001352300	-	19875521	19941818	66297	19877104	19941803	17	19875521,19878089,19878365,19880178,19880621,19883324,19895406,19898038,19899048,19911376,19915213,19915764,19918142,19918859,19919542,19931029,19941700	19877234,19878187,19878437,19880271,19880717,19883461,19895581,19898130,19899068,19911447,19915276,19915843,19918217,19919004,19919599,19931095,19941818	1713,98,72,93,96,137,175,92,20,71,63,79,75,145,57,66,118
COMT	NM_001362828	+	19941771	19969975	28204	19962526	19968736	6	19941771,19961198,19962232,19963565,19964167,19968535	19941897,19961289,19962815,19963759,19964299,19969975	126,91,583,194,132,1440
MIR4761	NR_039918	+	19963752	19963834	82	19963834	19963834	1	19963752	19963834	82
ARVCF	NM_001670	-	19969895	20016823	46928	19971227	19990794	20	19969895,19971215,19971885,19972357,19972736,19972924,19973118,19973642,19974111,19975685,19976705,19977414,19977957,19978896,19979742,19981210,19981932,19990584,20010454,20016588	19970743,19971335,19971971,19972411,19972827,19973036,19973317,19973793,19974239,19975757,19976723,19977586,19978075,19979080,19980242,19981737,19982091,19990812,20010508,20016823	848,120,86,54,91,112,199,151,128,72,18,172,118,184,500,527,159,228,54,235
TANGO2	NM_001283179	+	20016999	20067164	50165	20036798	20064662	7	20016999,20036759,20043354,20052464,20061529,20063337,20064541	20017192,20036854,20043443,20052584,20061683,20063442,20067164	193,95,89,120,154,105,2623
MIR185	NR_029706	+	20033138	20033220	82	20033220	20033220	1	20033138	20033220	82
DGCR8	NM_001190326	+	20080231	20111877	31646	20085963	20110108	13	20080231,20085686,20087161,20089668,20089975,20091434,20091868,20094712,20106176,20106591,20107270,20108889,20110024	20080383,20086683,20087321,20089811,20090258,20091632,20091970,20094795,20106277,20106698,20107398,20109003,20111877	152,997,160,143,283,198,102,83,101,107,128,114,1853
MIR3618	NR_037412	+	20085745	20085833	88	20085833	20085833	1	20085745	20085833	88
MIR1306	NR_031706	+	20086057	20086142	85	20086142	20086142	1	20086057	20086142	85
TRMT2A	NM_182984	-	20111874	20117226	5352	20112562	20116906	13	20111874,20112910,20113117,20113431,20113685,20114573,20114760,20114964,20115265,20115671,20116037,20116882,20117096	20112794,20113007,20113234,20113507,20113808,20114685,20114876,20115079,20115447,20115780,20116612,20116972,20117226	920,97,117,76,123,112,116,115,182,109,575,90,130
MIR6816	NR_106874	-	20114685	20114751	66	20114751	20114751	1	20114685	20114751	66
RANBP1	NM_001278639	+	20116103	20127355	11252	20116184	20127052	6	20116103,20119012,20122263,20125307,20126302,20126951	20116430,20119149,20122421,20125436,20126368,20127355	327,137,158,129,66,404
SNORA77B	NR_145765	+	20126401	20126526	125	20126526	20126526	1	20126401	20126526	125
ZDHHC8	NM_013373	+	20131803	20148007	16204	20131947	20145400	11	20131803,20139193,20139477,20139719,20140114,20140616,20140870,20141216,20141420,20142755,20145228	20132051,20139315,20139635,20139892,20140217,20140708,20141012,20141337,20141530,20143756,20148007	248,122,158,173,103,92,142,121,110,1001,2779
CCDC188	NM_001365892	-	20148415	20151055	2640	20148613	20150986	9	20148415,20148874,20149186,20149411,20149580,20149723,20149954,20150142,20150467	20148800,20148924,20149244,20149476,20149640,20149780,20150059,20150250,20151055	385,50,58,65,60,57,105,108,588
LOC284865	NR_038460	-	20198728	20204918	6190	20204918	20204918	4	20198728,20200054,20204332,20204652	20199251,20201326,20204499,20204918	523,1272,167,266
LINC00896	NR_026919	+	20206331	20208537	2206	20208537	20208537	1	20206331	20208537	2206
RTN4R	NM_023004	-	20241414	20268318	26904	20241710	20268092	2	20241414,20268070	20243110,20268318	1696,248
MIR1286	NR_031618	-	20249133	20249211	78	20249211	20249211	1	20249133	20249211	78
DGCR6L	NM_033257	-	20314237	20320060	5823	20314674	20319988	5	20314237,20315335,20316118,20319638,20319878	20314824,20315476,20316219,20319799,20320060	587,141,101,161,182
FAM230G	NR_165637	+	20338029	20352496	14467	20352496	20352496	7	20338029,20340996,20341523,20344493,20349485,20351554,20352081	20338170,20341055,20341656,20344580,20349551,20351616,20352496	141,59,133,87,66,62,415
ZNF74	NM_001256524	+	20394114	20408463	14349	20394628	20406968	6	20394114,20394562,20395332,20400631,20401276,20405376	20394334,20394662,20395418,20400758,20401372,20408463	220,100,86,127,96,3087
SCARF2	NM_153334	-	20424583	20437825	13242	20425374	20437754	11	20424583,20427397,20429224,20429535,20429729,20430428,20430689,20431017,20431744,20431929,20437581	20426282,20427550,20429355,20429653,20429833,20430557,20430908,20431537,20431846,20431988,20437825	1699,153,131,118,104,129,219,520,102,59,244
KLHL22	NM_032775	-	20441518	20495795	54277	20442072	20489211	7	20441518,20446442,20457807,20464857,20471349,20488984,20495759	20442438,20446676,20458000,20465576,20471515,20489244,20495795	920,234,193,719,166,260,36
MED15	NM_001293236	+	20507609	20587619	80010	20507678	20586704	16	20507609,20537116,20551435,20553144,20564449,20566466,20568520,20582610,20582839,20583112,20583329,20584358,20584854,20585100,20585727,20586567	20507746,20537204,20551487,20553174,20564688,20566817,20568631,20582747,20582967,20583247,20583393,20584425,20585015,20585267,20585826,20587619	137,88,52,30,239,351,111,137,128,135,64,67,161,167,99,1052
POM121L4P	NR_024592	+	20689554	20691721	2167	20691721	20691721	1	20689554	20691721	2167
TMEM191A	NR_026815	+	20701113	20704603	3490	20704603	20704603	8	20701113,20702585,20703005,20703467,20703632,20703967,20704187,20704310	20702306,20702709,20703122,20703524,20703692,20704040,20704228,20704603	1193,124,117,57,60,73,41,293
PI4KA	NM_001362862	-	20707690	20858812	151122	20708046	20858725	54	20707690,20709295,20709907,20710698,20711340,20712485,20712692,20713280,20714457,20714627,20717707,20718692,20721297,20726487,20727229,20727773,20729312,20729631,20729891,20732970,20733735,20734042,20734394,20742227,20742607,20747582,20749904,20751292,20751673,20752902,20753109,20761303,20764816,20765099,20765584,20793192,20796145,20798583,20799092,20799670,20801972,20803190,20804299,20804973,20807361,20810966,20813357,20818482,20819640,20820538,20824325,20834561,20838614,20858569	20708098,20709379,20709997,20710858,20711461,20712611,20712797,20713390,20714528,20714700,20717778,20718822,20721418,20726541,20727397,20727864,20729506,20729711,20730011,20733098,20733843,20734194,20734553,20742355,20742764,20747702,20749994,20751376,20751755,20753027,20753180,20761386,20764950,20765236,20765693,20793243,20796314,20798687,20799276,20799766,20802105,20803320,20804400,20805165,20807458,20811032,20813506,20818549,20819900,20820611,20824414,20834655,20838731,20858812	408,84,90,160,121,126,105,110,71,73,71,130,121,54,168,91,194,80,120,128,108,152,159,128,157,120,90,84,82,125,71,83,134,137,109,51,169,104,184,96,133,130,101,192,97,66,149,67,260,73,89,94,117,243
SERPIND1	NM_000185	+	20774112	20787720	13608	20779312	20787066	5	20774112,20779296,20783971,20786003,20786874	20774145,20780201,20784245,20786148,20787720	33,905,274,145,846
SNAP29	NM_004782	+	20859006	20891213	32207	20859110	20887836	5	20859006,20870336,20881048,20883470,20887678	20859347,20870533,20881134,20883569,20891213	341,197,86,99,3535
CRKL	NM_005207	+	20917406	20953747	36341	20917934	20949845	3	20917406,20933778,20949710	20918245,20934244,20953747	839,466,4037
LINC01637	NR_110537	+	20957091	20964680	7589	20964680	20964680	2	20957091,20964390	20957486,20964680	395,290
AIFM3	NM_001018060	+	20965171	20981358	16187	20967944	20981031	20	20965171,20967804,20973306,20973757,20974062,20974251,20974524,20974703,20975691,20976214,20976407,20976650,20976866,20977031,20977699,20977887,20979270,20979626,20980019,20980991	20965207,20967975,20973520,20973867,20974172,20974296,20974621,20974816,20975778,20976306,20976538,20976766,20976938,20977095,20977776,20978005,20979369,20979702,20980124,20981358	36,171,214,110,110,45,97,113,87,92,131,116,72,64,77,118,99,76,105,367
LZTR1	NM_006767	+	20982296	20999031	16735	20982371	20997348	21	20982296,20983026,20985840,20987503,20988009,20988788,20989624,20990385,20991627,20992213,20992793,20993661,20993923,20994103,20994557,20994869,20995745,20995962,20996695,20996885,20997231	20982571,20983089,20985897,20987583,20988118,20988872,20989682,20990525,20991829,20992369,20992904,20993754,20994019,20994269,20994727,20995026,20995872,20996112,20996801,20996966,20999031	275,63,57,80,109,84,58,140,202,156,111,93,96,166,170,157,127,150,106,81,1800
THAP7	NM_030573	-	20999103	21002118	3015	20999879	21001911	4	20999103,21000646,21001255,21001831	21000432,21000787,21001411,21002118	1329,141,156,287
THAP7-AS1	NR_027051	+	21001921	21010374	8453	21010374	21010374	2	21001921,21008666	21002829,21010374	908,1708
TUBA3FP	NR_003608	-	21008206	21014287	6081	21014287	21014287	3	21008206,21011383,21013781	21009453,21011590,21014287	1247,207,506
P2RX6	NM_001159554	+	21015152	21028013	12861	21015174	21026617	12	21015152,21015941,21017988,21022675,21022941,21023117,21023274,21023508,21025804,21026010,21026251,21026419	21015260,21016092,21018060,21022751,21023035,21023198,21023416,21023618,21025898,21026076,21026329,21028013	108,151,72,76,94,81,142,110,94,66,78,1594
SLC7A4	NM_004173	-	21028717	21032561	3844	21029054	21031812	5	21028717,21029335,21029710,21030830,21032530	21029230,21029444,21030351,21031852,21032561	513,109,641,1022,31
MIR649	NR_030379	-	21034175	21034272	97	21034272	21034272	1	21034175	21034272	97
P2RX6P	NR_002829	-	21042391	21044249	1858	21044249	21044249	2	21042391,21044148	21042414,21044249	23,101
LRRC74B	NM_001291006	+	21045945	21064168	18223	21045986	21060528	10	21045945,21047355,21047883,21048950,21052248,21053359,21055097,21057104,21060372,21061723	21046125,21047498,21048016,21049157,21052358,21053475,21055176,21057200,21060577,21064168	180,143,133,207,110,116,79,96,205,2445
BCRP2	NR_037566	+	21103015	21122286	19271	21122286	21122286	6	21103015,21115928,21117123,21118040,21118786,21120803	21103226,21116001,21117258,21118309,21118949,21122286	211,73,135,269,163,1483
FAM230B	NR_165621	+	21167864	21192161	24297	21192161	21192161	12	21167864,21169945,21170472,21173443,21178430,21180495,21181022,21183270,21186120,21186419,21186922,21191721	21167969,21170004,21170497,21173530,21178496,21180557,21181056,21185587,21186193,21186460,21187077,21192161	105,59,25,87,66,62,34,2317,73,41,155,440
GGT2	NM_001351304	-	21207972	21277862	69890	21208137	21225554	17	21207972,21208588,21208783,21208998,21209358,21213064,21213724,21215924,21216474,21221865,21222077,21225390,21226104,21226299,21226593,21228759,21277791	21208284,21208702,21208896,21209126,21209546,21213201,21213874,21216097,21216667,21221946,21222214,21225561,21226181,21226386,21226665,21229138,21277862	312,114,113,128,188,137,150,173,193,81,137,171,77,87,72,379,71
POM121L8P	NR_024583	+	21282424	21297726	15302	21297726	21297726	7	21282424,21287581,21288824,21289594,21290693,21292520,21294327	21284275,21287788,21288887,21289701,21291863,21293435,21297726	1851,207,63,107,1170,915,3399
FAM230H	NR_136559	-	21300990	21326636	25646	21326636	21326636	12	21300990,21306068,21306685,21306952,21307558,21311739,21312238,21314299,21319269,21322302,21322795,21326532	21301424,21306223,21306726,21307025,21309524,21311773,21312300,21314365,21319356,21322327,21322854,21326636	434,155,41,73,1966,34,62,66,87,25,59,104
